uid, mimetype, format, format_version, valid, wellformed, creating_application_name, created, size, checksum_md5, lastmodified_fs, puid, lastmodified, linebreak, charset, byteorder, compression_scheme, image_width, image_height, colorspace, YCbCrSubSampling, sampling_frequency_unit, sampling_frequency_x, sampling_frequency_y, bitspersample, samplesperpixel, lightsource, icc_profile_name, orientation, scanner_softwarename, icc_profile_version, bit_rate, samplerate, channels, title, creating_os, message, markupbasis, YCbCrPositioning, digitalcamera_modelname, fnumber, exposure_time, isospeedrating, flash, focallength, digitalcamera_manufacturer, exif_version, shutterspeedvalue, aperture_value, pagecount, is_tagged, has_outline, has_annotations, is_rightsmanaged, is_protected, has_forms, author, language, duration, frameRate, audioSampleRate, encoding, markupBasisVersion, referenceBlackWhite, audio_dataencoding, bit_depth, rotation, subject, brightness, exposure_biasvalue, meteringmode, exposure_program, aperture_value_max, sensingmethod, gpsVersionID, numsamples, block_align, wordsize, offset, YCbCrCoefficients, whitePointXValue, whitePointYValue, subjectDistance, exposureIndex, capturedevice, brightnessvalue, creating_application_version, wordcount, charactercount, gpsLatitude, gpsLongitude, gpsAltitudeRef, gpsAltitude, gpsTimeStamp, gpsMeasureMode, gpsDOP, gpsSpeed, gpsTrack, gpsImgDirection, gpsDestLatitude, gpsDestLongitude, gpsDestBearing, gpsDestDistance, markupLanguage, scanner_manufacturer, scanner_modelname, location, mimeType, formatProfile, dateModified, videoDataEncoding, codecId, codecCC, codecVersion, codecName, codecFamily, codecInfo, compression, delay, trackSize, width, height, frameCount, aspectRatio, scanningFormat, chromaSubsampling, bitRateMode, samplingRate, tablecount, graphicsCount, dateCreated, frameRateMode, soundField, inhibitortype, milliseconds, gpsDateStamp, software, 
/home/asztrik/Documents/TUW/2DP/3/csv/jupiter.csv, CONFLICT, CONFLICT, , , , , , 3702475, 61da95fa6d4b1239ff084a744ee1b596, Thu Jun 09 22:27:51 CEST 2016, x-fmt/18, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
/home/asztrik/Documents/TUW/2DP/3/strace.log.5614_res, text/plain, Plain text, , true, true, , , 45, 8313426691e018d26dcdf5eff82d1fd2, Thu Jun 09 23:24:30 CEST 2016, , , LF, US-ASCII, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
/home/asztrik/Documents/TUW/2DP/3/spacesound/saturn.mp3.dat, text/plain, Plain text, , true, true, , , 15267491, ecdaacdd0826e240da4eeaea5439df21, Thu Jun 09 22:31:51 CEST 2016, , , CR/LF, US-ASCII, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
/home/asztrik/Documents/TUW/2DP/3/spacesound/vger.mp3.wav, audio/x-wave, Waveform Audio, , true, true, , , 808808, 81eab65ea36861953ab98304ebe584f7, Thu Jun 09 22:47:37 CEST 2016, fmt/141, Thu Jun 09 22:47:37 CEST 2016, , , LITTLE_ENDIAN, , , , , , , , , , , , , , , , , 22050, 2, , , , , , , , , , , , , , , , , , , , , , , , , 18.34 s, , , , , , CONFLICT, 8, , , , , , , , , , 404352, 2, 1, 104, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , Lavf56.40.101, 
/home/asztrik/Documents/TUW/2DP/3/static/rain.mp3, audio/mpeg, MPEG 1/2 Audio Layer 3, 1, , , , , 13827602, 00c3a21e8f6056d4da49c33b2ab056de, Fri Feb 07 15:28:05 CET 2014, fmt/134, Fri Feb 07 15:28:05 CET 2014, , , , , , , , , , , , , , , , , , , CONFLICT, 44100, 2, , , , , , , , , , , , , , , , , , , , , , , , , 0:57:36:851, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 3456851, , , 
/home/asztrik/Documents/TUW/2DP/3/spacesound/saturn2.mp3.wav, audio/x-wave, Waveform Audio, , true, true, , , 286178, 4d2e7eb3debc66dca5d6bab5c893e4d4, Thu Jun 09 22:30:00 CEST 2016, fmt/141, Thu Jun 09 22:30:00 CEST 2016, , , LITTLE_ENDIAN, , , , , , , , , , , , , , , , , 22050, 1, , , , , , , , , , , , , , , , , , , , , , , , , 12.98 s, , , , , , CONFLICT, 8, , , , , , , , , , 286099, 1, 1, 78, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , Lavf56.40.101, 
/home/asztrik/Documents/TUW/2DP/3/spacesound/interstellar.mp3.wav, audio/x-wave, Waveform Audio, , true, true, , , 276008, ea6451aec715814dbeab9017f3c86809, Thu Jun 09 22:46:55 CEST 2016, fmt/141, Thu Jun 09 22:46:55 CEST 2016, , , LITTLE_ENDIAN, , , , , , , , , , , , , , , , , 22050, 1, , , , , , , , , , , , , , , , , , , , , , , , , 12.52 s, , , , , , CONFLICT, 8, , , , , , , , , , 275904, 1, 1, 104, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , Lavf56.40.101, 
/home/asztrik/Documents/TUW/2DP/3/strace.log.5614_proc, inode/x-empty, empty, , , , , , 0, d41d8cd98f00b204e9800998ecf8427e, Thu Jun 09 23:24:30 CEST 2016, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
/home/asztrik/Documents/TUW/2DP/3/spacesound/jupiter.mp3.dat, text/plain, Plain text, , true, true, , , 6207443, 3a64dfa3914ef66ec590effc2a8f86c8, Thu Jun 09 22:27:47 CEST 2016, , , CR/LF, US-ASCII, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
/home/asztrik/Documents/TUW/2DP/3/strace.log.7199_services, inode/x-empty, empty, , , , , , 0, d41d8cd98f00b204e9800998ecf8427e, Thu Jun 09 23:24:30 CEST 2016, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
